sampleId,patientId,gene,entrezGeneId,expressionRsemBatchNormalized
TCGA-A1-A0SE-01,TCGA-A1-A0SE,CD274,29126,13.8215
TCGA-A1-A0SE-01,TCGA-A1-A0SE,CXCL9,4283,562.073
TCGA-A1-A0SE-01,TCGA-A1-A0SE,EGFR,1956,578.856
TCGA-A1-A0SE-01,TCGA-A1-A0SE,EPCAM,4072,4362.98
TCGA-A1-A0SE-01,TCGA-A1-A0SE,ERBB2,2064,9311.07
TCGA-A1-A0SE-01,TCGA-A1-A0SE,ESR1,2099,4412.01
TCGA-A1-A0SF-01,TCGA-A1-A0SF,FOXA1,3169,6637.26
TCGA-A1-A0SF-01,TCGA-A1-A0SF,FOXC1,2296,143.087
TCGA-A1-A0SF-01,TCGA-A1-A0SF,GATA3,2625,12211.6
TCGA-A1-A0SF-01,TCGA-A1-A0SF,IFNG,3458,2.9988
TCGA-A1-A0SF-01,TCGA-A1-A0SF,KRT5,3852,6379.79
TCGA-A1-A0SF-01,TCGA-A1-A0SF,KRT14,3861,5933.39
TCGA-A1-A0SF-01,TCGA-A1-A0SF,KRT17,3872,3259.29
TCGA-A1-A0SF-01,TCGA-A1-A0SF,AR,367,879.941
TCGA-A1-A0SF-01,TCGA-A1-A0SF,MKI67,4288,1328.05
TCGA-A1-A0SF-01,TCGA-A1-A0SF,MUC1,4582,10899.9
TCGA-A1-A0SF-01,TCGA-A1-A0SF,PGR,5241,7068.28
TCGA-A1-A0SF-01,TCGA-A1-A0SF,VIM,7431,18107.4
TCGA-A1-A0SF-01,TCGA-A1-A0SF,CD8A,925,678.591
TCGA-A1-A0SF-01,TCGA-A1-A0SF,CD274,29126,14.5657
TCGA-A1-A0SF-01,TCGA-A1-A0SF,CXCL9,4283,3934.89
TCGA-A1-A0SF-01,TCGA-A1-A0SF,EGFR,1956,243.333
TCGA-A1-A0SF-01,TCGA-A1-A0SF,EPCAM,4072,5310.06
TCGA-A1-A0SF-01,TCGA-A1-A0SF,ERBB2,2064,7976.87
TCGA-A1-A0SF-01,TCGA-A1-A0SF,ESR1,2099,7895.91
TCGA-A1-A0SG-01,TCGA-A1-A0SG,FOXA1,3169,5916.66
TCGA-A1-A0SG-01,TCGA-A1-A0SG,FOXC1,2296,80.2808
TCGA-A1-A0SG-01,TCGA-A1-A0SG,GATA3,2625,12886.7
TCGA-A1-A0SG-01,TCGA-A1-A0SG,IFNG,3458,0
TCGA-A1-A0SG-01,TCGA-A1-A0SG,KRT5,3852,963.01
TCGA-A1-A0SG-01,TCGA-A1-A0SG,KRT14,3861,828.728
TCGA-A1-A0SG-01,TCGA-A1-A0SG,KRT17,3872,914.409
TCGA-A1-A0SG-01,TCGA-A1-A0SG,AR,367,778.328
TCGA-A1-A0SG-01,TCGA-A1-A0SG,MKI67,4288,836.648
TCGA-A1-A0SG-01,TCGA-A1-A0SG,MUC1,4582,6587.71
TCGA-A1-A0SG-01,TCGA-A1-A0SG,PGR,5241,15002.1
TCGA-A1-A0SG-01,TCGA-A1-A0SG,VIM,7431,18725
TCGA-A1-A0SG-01,TCGA-A1-A0SG,CD8A,925,118.081
TCGA-A1-A0SG-01,TCGA-A1-A0SG,CD274,29126,16.2002
TCGA-A1-A0SG-01,TCGA-A1-A0SG,CXCL9,4283,285.483
TCGA-A1-A0SG-01,TCGA-A1-A0SG,EGFR,1956,144.361
TCGA-A1-A0SG-01,TCGA-A1-A0SG,EPCAM,4072,3058.95
TCGA-A1-A0SG-01,TCGA-A1-A0SG,ERBB2,2064,10661.1
TCGA-A1-A0SG-01,TCGA-A1-A0SG,ESR1,2099,16508.7
TCGA-A1-A0SH-01,TCGA-A1-A0SH,FOXA1,3169,5649.15
TCGA-A1-A0SH-01,TCGA-A1-A0SH,FOXC1,2296,200.079
TCGA-A1-A0SH-01,TCGA-A1-A0SH,GATA3,2625,7606.96
TCGA-A1-A0SH-01,TCGA-A1-A0SH,IFNG,3458,0.3612
TCGA-A1-A0SH-01,TCGA-A1-A0SH,KRT5,3852,2662.78
TCGA-A1-A0SH-01,TCGA-A1-A0SH,KRT14,3861,3150.7
TCGA-A1-A0SH-01,TCGA-A1-A0SH,KRT17,3872,2468.84
TCGA-A1-A0SH-01,TCGA-A1-A0SH,AR,367,840.402
TCGA-A1-A0SH-01,TCGA-A1-A0SH,MKI67,4288,961.749
TCGA-A1-A0SH-01,TCGA-A1-A0SH,MUC1,4582,15096.9
TCGA-A1-A0SH-01,TCGA-A1-A0SH,PGR,5241,4629.31
TCGA-A1-A0SH-01,TCGA-A1-A0SH,VIM,7431,38607.9
TCGA-A1-A0SH-01,TCGA-A1-A0SH,CD8A,925,60.3125
TCGA-A1-A0SH-01,TCGA-A1-A0SH,CD274,29126,11.918
TCGA-A1-A0SH-01,TCGA-A1-A0SH,CXCL9,4283,256.418
TCGA-A1-A0SH-01,TCGA-A1-A0SH,EGFR,1956,457.942
TCGA-A1-A0SH-01,TCGA-A1-A0SH,EPCAM,4072,3237.73
TCGA-A1-A0SH-01,TCGA-A1-A0SH,ERBB2,2064,17990.8
TCGA-A1-A0SH-01,TCGA-A1-A0SH,ESR1,2099,1288.95
TCGA-A1-A0SI-01,TCGA-A1-A0SI,FOXA1,3169,5241.61
TCGA-A1-A0SI-01,TCGA-A1-A0SI,FOXC1,2296,113.596
TCGA-A1-A0SI-01,TCGA-A1-A0SI,GATA3,2625,5554.44
TCGA-A1-A0SI-01,TCGA-A1-A0SI,IFNG,3458,11.4773
TCGA-A1-A0SI-01,TCGA-A1-A0SI,KRT5,3852,503.826
TCGA-A1-A0SI-01,TCGA-A1-A0SI,KRT14,3861,599.47
TCGA-A1-A0SI-01,TCGA-A1-A0SI,KRT17,3872,1190.99
TCGA-A1-A0SI-01,TCGA-A1-A0SI,AR,367,1042.97
TCGA-A1-A0SI-01,TCGA-A1-A0SI,MKI67,4288,3449.38
TCGA-A1-A0SI-01,TCGA-A1-A0SI,MUC1,4582,25019.7
TCGA-A1-A0SI-01,TCGA-A1-A0SI,PGR,5241,327.737
TCGA-A1-A0SI-01,TCGA-A1-A0SI,VIM,7431,25032.1
TCGA-A1-A0SI-01,TCGA-A1-A0SI,CD8A,925,583.579
TCGA-A1-A0SI-01,TCGA-A1-A0SI,CD274,29126,48.8523
TCGA-A1-A0SI-01,TCGA-A1-A0SI,CXCL9,4283,4737.79
TCGA-A1-A0SI-01,TCGA-A1-A0SI,EGFR,1956,263.682
TCGA-A1-A0SI-01,TCGA-A1-A0SI,EPCAM,4072,4321.95
TCGA-A1-A0SI-01,TCGA-A1-A0SI,ERBB2,2064,4482.93
TCGA-A1-A0SI-01,TCGA-A1-A0SI,ESR1,2099,4144.5
TCGA-A1-A0SJ-01,TCGA-A1-A0SJ,FOXA1,3169,6376.59
TCGA-A1-A0SJ-01,TCGA-A1-A0SJ,FOXC1,2296,215.821
TCGA-A1-A0SJ-01,TCGA-A1-A0SJ,GATA3,2625,10301.6
TCGA-A1-A0SJ-01,TCGA-A1-A0SJ,IFNG,3458,0.3658
TCGA-A1-A0SJ-01,TCGA-A1-A0SJ,KRT5,3852,5121.17
TCGA-A1-A0SJ-01,TCGA-A1-A0SJ,KRT14,3861,3616.28
TCGA-A1-A0SJ-01,TCGA-A1-A0SJ,KRT17,3872,3938.91
TCGA-A1-A0SJ-01,TCGA-A1-A0SJ,AR,367,465.661
TCGA-A1-A0SJ-01,TCGA-A1-A0SJ,MKI67,4288,2646.91
TCGA-A1-A0SJ-01,TCGA-A1-A0SJ,MUC1,4582,557.11
TCGA-A1-A0SJ-01,TCGA-A1-A0SJ,PGR,5241,3781.23
TCGA-A1-A0SJ-01,TCGA-A1-A0SJ,VIM,7431,20848.8
TCGA-A1-A0SJ-01,TCGA-A1-A0SJ,CD8A,925,181.436
TCGA-A1-A0SJ-01,TCGA-A1-A0SJ,CD274,29126,10.2423
TCGA-A1-A0SJ-01,TCGA-A1-A0SJ,CXCL9,4283,285.322
TCGA-A1-A0SJ-01,TCGA-A1-A0SJ,EGFR,1956,384.088
TCGA-A1-A0SJ-01,TCGA-A1-A0SJ,EPCAM,4072,4226.06
TCGA-A1-A0SJ-01,TCGA-A1-A0SJ,ERBB2,2064,9313.95
TCGA-A1-A0SJ-01,TCGA-A1-A0SJ,ESR1,2099,4684.77
TCGA-A1-A0SK-01,TCGA-A1-A0SK,FOXA1,3169,2010.09
TCGA-A1-A0SK-01,TCGA-A1-A0SK,FOXC1,2296,78.7898
TCGA-A1-A0SK-01,TCGA-A1-A0SK,GATA3,2625,4.7274
TCGA-A1-A0SK-01,TCGA-A1-A0SK,IFNG,3458,0
TCGA-A1-A0SK-01,TCGA-A1-A0SK,KRT5,3852,1818.15
TCGA-A1-A0SK-01,TCGA-A1-A0SK,KRT14,3861,28.9946
TCGA-A1-A0SK-01,TCGA-A1-A0SK,KRT17,3872,411.598
TCGA-A1-A0SK-01,TCGA-A1-A0SK,AR,367,2.2061
TCGA-A1-A0SK-01,TCGA-A1-A0SK,MKI67,4288,8936.65
TCGA-A1-A0SK-01,TCGA-A1-A0SK,MUC1,4582,241.412
TCGA-A1-A0SK-01,TCGA-A1-A0SK,PGR,5241,6.9335
TCGA-A1-A0SK-01,TCGA-A1-A0SK,VIM,7431,4747.01
TCGA-A1-A0SK-01,TCGA-A1-A0SK,CD8A,925,45.0678
TCGA-A1-A0SK-01,TCGA-A1-A0SK,CD274,29126,3.4668
TCGA-A1-A0SK-01,TCGA-A1-A0SK,CXCL9,4283,128.27
TCGA-A1-A0SK-01,TCGA-A1-A0SK,EGFR,1956,353.293
TCGA-A1-A0SK-01,TCGA-A1-A0SK,EPCAM,4072,9776.55
TCGA-A1-A0SK-01,TCGA-A1-A0SK,ERBB2,2064,303.498
TCGA-A1-A0SK-01,TCGA-A1-A0SK,ESR1,2099,7.2487
TCGA-A1-A0SM-01,TCGA-A1-A0SM,FOXA1,3169,11650.3
TCGA-A1-A0SM-01,TCGA-A1-A0SM,FOXC1,2296,121.212
TCGA-A1-A0SM-01,TCGA-A1-A0SM,GATA3,2625,10919.8
TCGA-A1-A0SM-01,TCGA-A1-A0SM,IFNG,3458,0.3157
TCGA-A1-A0SM-01,TCGA-A1-A0SM,KRT5,3852,656.25
TCGA-A1-A0SM-01,TCGA-A1-A0SM,KRT14,3861,425.189
TCGA-A1-A0SM-01,TCGA-A1-A0SM,KRT17,3872,673.295
TCGA-A1-A0SM-01,TCGA-A1-A0SM,AR,367,307.765
TCGA-A1-A0SM-01,TCGA-A1-A0SM,MKI67,4288,1370.27
TCGA-A1-A0SM-01,TCGA-A1-A0SM,MUC1,4582,52266.4
TCGA-A1-A0SM-01,TCGA-A1-A0SM,PGR,5241,87.7525
TCGA-A1-A0SM-01,TCGA-A1-A0SM,VIM,7431,25932.2
TCGA-A1-A0SM-01,TCGA-A1-A0SM,CD8A,925,72.601
TCGA-A1-A0SM-01,TCGA-A1-A0SM,CD274,29126,15.7828
TCGA-A1-A0SM-01,TCGA-A1-A0SM,CXCL9,4283,54.6086
TCGA-A1-A0SM-01,TCGA-A1-A0SM,EGFR,1956,181.502
TCGA-A1-A0SM-01,TCGA-A1-A0SM,EPCAM,4072,3279.67
TCGA-A1-A0SM-01,TCGA-A1-A0SM,ERBB2,2064,184553
TCGA-A1-A0SM-01,TCGA-A1-A0SM,ESR1,2099,5511.99
TCGA-A1-A0SN-01,TCGA-A1-A0SN,FOXA1,3169,7990.06
TCGA-A1-A0SN-01,TCGA-A1-A0SN,FOXC1,2296,127.967
TCGA-A1-A0SN-01,TCGA-A1-A0SN,GATA3,2625,9645.61
TCGA-A1-A0SN-01,TCGA-A1-A0SN,IFNG,3458,5.4522
TCGA-A1-A0SN-01,TCGA-A1-A0SN,KRT5,3852,828.736
TCGA-A1-A0SN-01,TCGA-A1-A0SN,KRT14,3861,459.589
TCGA-A1-A0SN-01,TCGA-A1-A0SN,KRT17,3872,652.341
TCGA-A1-A0SN-01,TCGA-A1-A0SN,AR,367,567.03
TCGA-A1-A0SN-01,TCGA-A1-A0SN,MKI67,4288,3234.77
TCGA-A1-A0SN-01,TCGA-A1-A0SN,MUC1,4582,22747.6
TCGA-A1-A0SN-01,TCGA-A1-A0SN,PGR,5241,1395.44
TCGA-A1-A0SN-01,TCGA-A1-A0SN,VIM,7431,18713.5
TCGA-A1-A0SN-01,TCGA-A1-A0SN,CD8A,925,529.185
TCGA-A1-A0SN-01,TCGA-A1-A0SN,CD274,29126,34.9583
TCGA-A1-A0SN-01,TCGA-A1-A0SN,CXCL9,4283,3041.05
TCGA-A1-A0SN-01,TCGA-A1-A0SN,EGFR,1956,175.43
TCGA-A1-A0SN-01,TCGA-A1-A0SN,EPCAM,4072,5406.35
TCGA-A1-A0SN-01,TCGA-A1-A0SN,ERBB2,2064,152910
TCGA-A1-A0SN-01,TCGA-A1-A0SN,ESR1,2099,12718.7
TCGA-A1-A0SO-01,TCGA-A1-A0SO,FOXA1,3169,3248.03
